"JayR","장원영","-",",","C","2004""t","74"
"Wilson","宮脇咲良","미야와키 사쿠라",",","A","1998","t","40"
"Marcus","조유리","-","Stone Music Entertainment","A","2001","t","77"
"Vinci","최예나","-","Yuehua Entertainment","A","1999","t","93"
"Jeromy","안유진","-","Starship Entertainment","A","2003","t","72"
"Drei","矢吹奈子","야부키 나코","HKT48","A","2001","t","45"
"Asi","권은비","-","Woollim Entertainment","A","1995","t","90"
"JoshL","강혜원","-","8D Creative","B","1999","t","1"
"Omar","本田仁美","혼다 히토미","AKB48","B","2001","t","6"
"Karl","김채원","-","Woollim Entertainment","C","2000","t","87"
"Neil","김민주","-","Urban Works","B","2001","t","81"
"Lyle","이채연","-","WM Entertainment","B","2000","t","85"
"Luiz","한초원","-","Cube Entertainment","C","2002","e","31"
"Macky","이가은","-","Pledis Entertainment","C","1994","e","67"
"Reyster","宮崎美穂","미야자키 미호","AKB48","A","1993","e","10"
"Jom","竹内美宥","타케우치 미유","AKB48","A","1996","e","21"
"Kean","白間美瑠","시로마 미루","NMB48","C","1997","e","63"
"Chris","下尾みう","시타오 미우","AKB48","C","2001","e","19"
"Gabby","高橋朱里","타카하시 쥬리","AKB48","C","1997","e","20"
"Kyler","박해윤","-","FNC Entertainment","C","1996","e","35"
"PanPan","김나영","-","Banana Culture","A","2002","e","23"
"KL","村瀬紗英","무라세 사에","NMB48","B","1997","e","61"
"Renz","김도아","-","FENT","B","2003","e","33"
"Tanner","後藤萌咲","고토 모에","AKB48","A","2001","e","5"
"Jay","장규리","-","Stone Music Entertainment","A","1997","e","76"
"Miguel","허윤진","-","Pledis Entertainment","B","2001","e","66"
"Laurence","김시현","-","Yuehua Entertainment","A","1999","e","94"
"Prince","岩立沙穂","이와타테 사호","AKB48","B","1994","e","8"
"Steel","王怡人","왕이런","Yuehua Entertainment","C","2000","e","95"
"Chie","나고은","-","Rainbow Bridge World","B","1999","e","68"
"Jeremy","이시안","-","Stone Music Entertainment","B","1999","e","78"
"DJ","村川緋杏","-","HKT48","B","1999","e","42"
"John","고유진","-","Blockberry Creative","B","2000","e","24"
"Julius","손은채","-","Million Market","B","1999","e","52"
"Thad","千葉恵里","치바 에리이","AKB48","B","2003","e","4"
"JM","小嶋真子","코지마 마코","AKB48","C","1997","e","9"
"Ron","김민서","-","HOW Entertainment","C","2002","e","46"
"Onie","배은영","-","Stone Music Entertainment","C","1997","e","75"
"Joshua","武藤十夢","무토 토무","AKB48","C","1994","e","12"
"Ishiro","浅井七海","아사이 나나미","AKB48","C","2000","e","3"
"Denrich","中西智代梨","나카니시 치요리","AKB48","C","1995","e","14"
"Vieo","山田野絵","야마다 노에","NGT48","C","1999","e","59"
"Winston","박민지","-","MND17","A","1999","e","56"
"JL","本村碧唯","모토무라 아오이","HKT48","B","1997","e","41"
"Matt","王珂","왕크어","HOW Entertainment","A","2000","e","47"
"Russu","荒巻美咲","아라마키 미사키","HKT48","A","2001","e","36"
"Jules","佐藤美波","사토 미나미","AKB48","B","2003","e","17"
"Tony","이하은","-","MNH Entertainment","B","2004","e","57"
"Wayne","이유정","-","CNC Entertainment","C","2004","e","28"
"Redd","김초연","-","A team","C","2001","e","2"
"Anjo","김소희","-","Woollim Entertainment","C","2003","e","88"
"Matthew","유민영","-","HOW Entertainment","C","2000","e","48"
"Kim","윤해솔","-","The Music Works","B","1997","e","11"
"Kerwin","박서영","-","Individual Trainee","C","1999","e","50"
"JoshW","김현아","-","Collazoo Company","B","1995","e","30"
"Toven","김수윤","-","Woollim Entertainment","C","2001","e","89"
"Asa","中野郁海","나카노 이쿠미","AKB48","C","2000","e","15"
"Lem","松井珠理奈","마츠이 쥬리나","SKE48","C","1997","e","71"
